,time_code,year,month,day,week
0,20130322,2013,3,22,12
1,20130323,2013,3,23,12
2,20130326,2013,3,26,13
3,20130327,2013,3,27,13
4,20130328,2013,3,28,13
5,20130329,2013,3,29,13
6,20130330,2013,3,30,13
7,20130331,2013,3,31,13
8,20130401,2013,4,1,14
9,20130402,2013,4,2,14
10,20130403,2013,4,3,14
11,20130404,2013,4,4,14
12,20130405,2013,4,5,14
13,20130406,2013,4,6,14
14,20130407,2013,4,7,14
15,20130408,2013,4,8,15
16,20130409,2013,4,9,15
17,20130410,2013,4,10,15
18,20130411,2013,4,11,15
19,20130412,2013,4,12,15
20,20130413,2013,4,13,15
21,20130414,2013,4,14,15
22,20130415,2013,4,15,16
23,20130416,2013,4,16,16
24,20130417,2013,4,17,16
25,20130418,2013,4,18,16
26,20130419,2013,4,19,16
27,20130420,2013,4,20,16
28,20130421,2013,4,21,16
29,20130422,2013,4,22,17
30,20130423,2013,4,23,17
31,20130424,2013,4,24,17
32,20130425,2013,4,25,17
33,20130426,2013,4,26,17
34,20130427,2013,4,27,17
35,20130428,2013,4,28,17
36,20130429,2013,4,29,18
37,20130430,2013,4,30,18
38,20130501,2013,5,1,18
39,20130502,2013,5,2,18
40,20130503,2013,5,3,18
41,20130504,2013,5,4,18
42,20130505,2013,5,5,18
43,20130506,2013,5,6,19
44,20130507,2013,5,7,19
45,20130508,2013,5,8,19
46,20130509,2013,5,9,19
47,20130510,2013,5,10,19
48,20130511,2013,5,11,19
49,20130512,2013,5,12,19
50,20130513,2013,5,13,20
51,20130514,2013,5,14,20
52,20130515,2013,5,15,20
53,20130516,2013,5,16,20
54,20130517,2013,5,17,20
55,20130518,2013,5,18,20
56,20130519,2013,5,19,20
57,20130520,2013,5,20,21
58,20130521,2013,5,21,21
59,20130522,2013,5,22,21
60,20130523,2013,5,23,21
61,20130524,2013,5,24,21
62,20130525,2013,5,25,21
63,20130526,2013,5,26,21
64,20130527,2013,5,27,22
65,20130528,2013,5,28,22
66,20130529,2013,5,29,22
67,20130530,2013,5,30,22
68,20130531,2013,5,31,22
69,20130601,2013,6,1,22
70,20130602,2013,6,2,22
71,20130603,2013,6,3,23
72,20130604,2013,6,4,23
73,20130605,2013,6,5,23
74,20130606,2013,6,6,23
75,20130607,2013,6,7,23
76,20130608,2013,6,8,23
77,20130609,2013,6,9,23
78,20130610,2013,6,10,24
79,20130611,2013,6,11,24
80,20130612,2013,6,12,24
81,20130613,2013,6,13,24
82,20130614,2013,6,14,24
83,20130615,2013,6,15,24
84,20130616,2013,6,16,24
85,20130617,2013,6,17,25
86,20130618,2013,6,18,25
87,20130619,2013,6,19,25
88,20130620,2013,6,20,25
89,20130621,2013,6,21,25
90,20130622,2013,6,22,25
91,20130623,2013,6,23,25
92,20130624,2013,6,24,26
93,20130625,2013,6,25,26
94,20130626,2013,6,26,26
95,20130627,2013,6,27,26
96,20130628,2013,6,28,26
97,20130629,2013,6,29,26
98,20130630,2013,6,30,26
99,20130701,2013,7,1,27
100,20130702,2013,7,2,27
101,20130703,2013,7,3,27
102,20130704,2013,7,4,27
103,20130705,2013,7,5,27
104,20130706,2013,7,6,27
105,20130707,2013,7,7,27
106,20130708,2013,7,8,28
107,20130709,2013,7,9,28
108,20130710,2013,7,10,28
109,20130711,2013,7,11,28
110,20130712,2013,7,12,28
111,20130713,2013,7,13,28
112,20130714,2013,7,14,28
113,20130715,2013,7,15,29
114,20130716,2013,7,16,29
115,20130717,2013,7,17,29
116,20130718,2013,7,18,29
117,20130719,2013,7,19,29
118,20130720,2013,7,20,29
119,20130721,2013,7,21,29
120,20130722,2013,7,22,30
121,20130723,2013,7,23,30
122,20130724,2013,7,24,30
123,20130725,2013,7,25,30
124,20130726,2013,7,26,30
125,20130727,2013,7,27,30
126,20130728,2013,7,28,30
127,20130729,2013,7,29,31
128,20130730,2013,7,30,31
129,20130731,2013,7,31,31
130,20130801,2013,8,1,31
131,20130802,2013,8,2,31
132,20130803,2013,8,3,31
133,20130804,2013,8,4,31
134,20130805,2013,8,5,32
135,20130806,2013,8,6,32
136,20130807,2013,8,7,32
137,20130808,2013,8,8,32
138,20130809,2013,8,9,32
139,20130810,2013,8,10,32
140,20130811,2013,8,11,32
141,20130812,2013,8,12,33
142,20130813,2013,8,13,33
143,20130814,2013,8,14,33
144,20130815,2013,8,15,33
145,20130816,2013,8,16,33
146,20130817,2013,8,17,33
147,20130818,2013,8,18,33
148,20130819,2013,8,19,34
149,20130820,2013,8,20,34
150,20130821,2013,8,21,34
151,20130822,2013,8,22,34
152,20130823,2013,8,23,34
153,20130824,2013,8,24,34
154,20130825,2013,8,25,34
155,20130826,2013,8,26,35
156,20130827,2013,8,27,35
157,20130828,2013,8,28,35
158,20130829,2013,8,29,35
159,20130830,2013,8,30,35
160,20130831,2013,8,31,35
161,20130901,2013,9,1,35
162,20130902,2013,9,2,36
163,20130903,2013,9,3,36
164,20130904,2013,9,4,36
165,20130905,2013,9,5,36
166,20130906,2013,9,6,36
167,20130907,2013,9,7,36
168,20130908,2013,9,8,36
169,20130909,2013,9,9,37
170,20130910,2013,9,10,37
171,20130911,2013,9,11,37
172,20130912,2013,9,12,37
173,20130913,2013,9,13,37
174,20130914,2013,9,14,37
175,20130915,2013,9,15,37
176,20130916,2013,9,16,38
177,20130917,2013,9,17,38
178,20130918,2013,9,18,38
179,20130919,2013,9,19,38
180,20130920,2013,9,20,38
181,20130921,2013,9,21,38
182,20130922,2013,9,22,38
183,20130923,2013,9,23,39
184,20130924,2013,9,24,39
185,20130925,2013,9,25,39
186,20130926,2013,9,26,39
187,20130927,2013,9,27,39
188,20130928,2013,9,28,39
189,20130929,2013,9,29,39
190,20130930,2013,9,30,40
191,20131001,2013,10,1,40
192,20131002,2013,10,2,40
193,20131003,2013,10,3,40
194,20131004,2013,10,4,40
195,20131005,2013,10,5,40
196,20131006,2013,10,6,40
197,20131007,2013,10,7,41
198,20131008,2013,10,8,41
199,20131009,2013,10,9,41
200,20131010,2013,10,10,41
201,20131011,2013,10,11,41
202,20131012,2013,10,12,41
203,20131013,2013,10,13,41
204,20131014,2013,10,14,42
205,20131015,2013,10,15,42
206,20131016,2013,10,16,42
207,20131017,2013,10,17,42
208,20131018,2013,10,18,42
209,20131019,2013,10,19,42
210,20131020,2013,10,20,42
211,20131021,2013,10,21,43
212,20131022,2013,10,22,43
213,20131023,2013,10,23,43
214,20131024,2013,10,24,43
215,20131025,2013,10,25,43
216,20131026,2013,10,26,43
217,20131027,2013,10,27,43
218,20131028,2013,10,28,44
219,20131029,2013,10,29,44
220,20131030,2013,10,30,44
221,20131031,2013,10,31,44
222,20131101,2013,11,1,44
223,20131102,2013,11,2,44
224,20131103,2013,11,3,44
225,20131104,2013,11,4,45
226,20131105,2013,11,5,45
227,20131106,2013,11,6,45
228,20131107,2013,11,7,45
229,20131108,2013,11,8,45
230,20131109,2013,11,9,45
231,20131110,2013,11,10,45
232,20131111,2013,11,11,46
233,20131112,2013,11,12,46
234,20131113,2013,11,13,46
235,20131114,2013,11,14,46
236,20131115,2013,11,15,46
237,20131116,2013,11,16,46
238,20131117,2013,11,17,46
239,20131118,2013,11,18,47
240,20131119,2013,11,19,47
241,20131120,2013,11,20,47
242,20131121,2013,11,21,47
243,20131122,2013,11,22,47
244,20131123,2013,11,23,47
245,20131124,2013,11,24,47
246,20131125,2013,11,25,48
247,20131126,2013,11,26,48
248,20131127,2013,11,27,48
249,20131128,2013,11,28,48
250,20131129,2013,11,29,48
251,20131130,2013,11,30,48
252,20131201,2013,12,1,48
253,20131202,2013,12,2,49
254,20131203,2013,12,3,49
255,20131204,2013,12,4,49
256,20131205,2013,12,5,49
257,20131206,2013,12,6,49
258,20131207,2013,12,7,49
259,20131208,2013,12,8,49
260,20131209,2013,12,9,50
261,20131210,2013,12,10,50
262,20131211,2013,12,11,50
263,20131212,2013,12,12,50
264,20131213,2013,12,13,50
265,20131214,2013,12,14,50
266,20131215,2013,12,15,50
267,20131216,2013,12,16,51
268,20131217,2013,12,17,51
269,20131218,2013,12,18,51
270,20131219,2013,12,19,51
271,20131220,2013,12,20,51
272,20131221,2013,12,21,51
273,20131222,2013,12,22,51
274,20131223,2013,12,23,52
275,20131224,2013,12,24,52
276,20131225,2013,12,25,52
277,20131226,2013,12,26,52
278,20131227,2013,12,27,52
279,20131228,2013,12,28,52
280,20131229,2013,12,29,52
281,20131230,2013,12,30,53
282,20131231,2013,12,31,53
283,20140101,2014,1,1,1
284,20140102,2014,1,2,1
285,20140103,2014,1,3,1
286,20140104,2014,1,4,1
287,20140105,2014,1,5,1
288,20140106,2014,1,6,2
289,20140107,2014,1,7,2
290,20140108,2014,1,8,2
291,20140109,2014,1,9,2
292,20140110,2014,1,10,2
293,20140111,2014,1,11,2
294,20140112,2014,1,12,2
295,20140113,2014,1,13,3
296,20140114,2014,1,14,3
297,20140115,2014,1,15,3
298,20140116,2014,1,16,3
299,20140117,2014,1,17,3
300,20140118,2014,1,18,3
301,20140119,2014,1,19,3
302,20140120,2014,1,20,4
303,20140121,2014,1,21,4
304,20140122,2014,1,22,4
305,20140123,2014,1,23,4
306,20140124,2014,1,24,4
307,20140125,2014,1,25,4
308,20140126,2014,1,26,4
309,20140127,2014,1,27,5
310,20140128,2014,1,28,5
311,20140129,2014,1,29,5
312,20140130,2014,1,30,5
313,20140131,2014,1,31,5
314,20140201,2014,2,1,5
315,20140202,2014,2,2,5
316,20140203,2014,2,3,6
317,20140204,2014,2,4,6
318,20140205,2014,2,5,6
319,20140206,2014,2,6,6
320,20140207,2014,2,7,6
321,20140208,2014,2,8,6
322,20140209,2014,2,9,6
323,20140210,2014,2,10,7
324,20140211,2014,2,11,7
325,20140212,2014,2,12,7
326,20140213,2014,2,13,7
327,20140214,2014,2,14,7
328,20140215,2014,2,15,7
329,20140216,2014,2,16,7
330,20140217,2014,2,17,8
331,20140218,2014,2,18,8
332,20140219,2014,2,19,8
333,20140220,2014,2,20,8
334,20140221,2014,2,21,8
335,20140222,2014,2,22,8
336,20140223,2014,2,23,8
337,20140224,2014,2,24,9
338,20140225,2014,2,25,9
339,20140226,2014,2,26,9
340,20140227,2014,2,27,9
341,20140228,2014,2,28,9
342,20140301,2014,3,1,9
343,20140302,2014,3,2,9
344,20140303,2014,3,3,10
345,20140304,2014,3,4,10
346,20140305,2014,3,5,10
347,20140306,2014,3,6,10
348,20140307,2014,3,7,10
349,20140308,2014,3,8,10
350,20140309,2014,3,9,10
351,20140310,2014,3,10,11
352,20140311,2014,3,11,11
353,20140312,2014,3,12,11
354,20140313,2014,3,13,11
355,20140314,2014,3,14,11
356,20140315,2014,3,15,11
357,20140316,2014,3,16,11
358,20140317,2014,3,17,12
359,20140318,2014,3,18,12
360,20140319,2014,3,19,12
361,20140320,2014,3,20,12
362,20140321,2014,3,21,12
363,20140322,2014,3,22,12
364,20140323,2014,3,23,12
365,20140324,2014,3,24,13
366,20140325,2014,3,25,13
367,20140326,2014,3,26,13
368,20140327,2014,3,27,13
369,20140328,2014,3,28,13
370,20140329,2014,3,29,13
371,20140330,2014,3,30,13
372,20140331,2014,3,31,14
373,20140401,2014,4,1,14
374,20140402,2014,4,2,14
375,20140403,2014,4,3,14
376,20140404,2014,4,4,14
377,20140405,2014,4,5,14
378,20140406,2014,4,6,14
379,20140407,2014,4,7,15
380,20140408,2014,4,8,15
381,20140409,2014,4,9,15
382,20140410,2014,4,10,15
383,20140411,2014,4,11,15
384,20140412,2014,4,12,15
385,20140413,2014,4,13,15
386,20140414,2014,4,14,16
387,20140415,2014,4,15,16
388,20140416,2014,4,16,16
389,20140417,2014,4,17,16
390,20140418,2014,4,18,16
391,20140419,2014,4,19,16
392,20140420,2014,4,20,16
393,20140421,2014,4,21,17
394,20140422,2014,4,22,17
395,20140423,2014,4,23,17
396,20140424,2014,4,24,17
397,20140425,2014,4,25,17
398,20140426,2014,4,26,17
399,20140427,2014,4,27,17
400,20140428,2014,4,28,18
401,20140429,2014,4,29,18
402,20140430,2014,4,30,18
403,20140501,2014,5,1,18
404,20140502,2014,5,2,18
405,20140503,2014,5,3,18
406,20140504,2014,5,4,18
407,20140505,2014,5,5,19
408,20140506,2014,5,6,19
409,20140507,2014,5,7,19
410,20140508,2014,5,8,19
411,20140509,2014,5,9,19
412,20140510,2014,5,10,19
413,20140511,2014,5,11,19
414,20140512,2014,5,12,20
415,20140513,2014,5,13,20
416,20140514,2014,5,14,20
417,20140515,2014,5,15,20
418,20140516,2014,5,16,20
419,20140517,2014,5,17,20
420,20140518,2014,5,18,20
421,20140519,2014,5,19,21
422,20140520,2014,5,20,21
423,20140521,2014,5,21,21
424,20140522,2014,5,22,21
425,20140523,2014,5,23,21
426,20140524,2014,5,24,21
427,20140525,2014,5,25,21
428,20140526,2014,5,26,22
429,20140527,2014,5,27,22
430,20140528,2014,5,28,22
431,20140529,2014,5,29,22
432,20140530,2014,5,30,22
433,20140531,2014,5,31,22
434,20140601,2014,6,1,22
435,20140602,2014,6,2,23
436,20140603,2014,6,3,23
437,20140604,2014,6,4,23
438,20140605,2014,6,5,23
439,20140606,2014,6,6,23
440,20140607,2014,6,7,23
441,20140608,2014,6,8,23
442,20140609,2014,6,9,24
443,20140610,2014,6,10,24
444,20140611,2014,6,11,24
445,20140612,2014,6,12,24
446,20140613,2014,6,13,24
447,20140614,2014,6,14,24
448,20140615,2014,6,15,24
449,20140616,2014,6,16,25
450,20140617,2014,6,17,25
451,20140618,2014,6,18,25
452,20140619,2014,6,19,25
453,20140620,2014,6,20,25
454,20140621,2014,6,21,25
455,20140622,2014,6,22,25
456,20140623,2014,6,23,26
457,20140624,2014,6,24,26
458,20140625,2014,6,25,26
459,20140626,2014,6,26,26
460,20140627,2014,6,27,26
461,20140628,2014,6,28,26
462,20140629,2014,6,29,26
463,20140630,2014,6,30,27
464,20140701,2014,7,1,27
465,20140702,2014,7,2,27
466,20140703,2014,7,3,27
467,20140704,2014,7,4,27
468,20140705,2014,7,5,27
469,20140706,2014,7,6,27
470,20140707,2014,7,7,28
471,20140708,2014,7,8,28
472,20140709,2014,7,9,28
473,20140710,2014,7,10,28
474,20140711,2014,7,11,28
475,20140712,2014,7,12,28
476,20140713,2014,7,13,28
477,20140714,2014,7,14,29
478,20140715,2014,7,15,29
479,20140716,2014,7,16,29
480,20140717,2014,7,17,29
481,20140718,2014,7,18,29
482,20140719,2014,7,19,29
483,20140720,2014,7,20,29
484,20140721,2014,7,21,30
485,20140722,2014,7,22,30
486,20140723,2014,7,23,30
487,20140724,2014,7,24,30
488,20140725,2014,7,25,30
489,20140726,2014,7,26,30
490,20140727,2014,7,27,30
491,20140728,2014,7,28,31
492,20140729,2014,7,29,31
493,20140730,2014,7,30,31
494,20140731,2014,7,31,31
495,20140801,2014,8,1,31
496,20140802,2014,8,2,31
497,20140803,2014,8,3,31
498,20140804,2014,8,4,32
499,20140805,2014,8,5,32
500,20140806,2014,8,6,32
501,20140807,2014,8,7,32
502,20140808,2014,8,8,32
503,20140809,2014,8,9,32
504,20140810,2014,8,10,32
505,20140811,2014,8,11,33
506,20140812,2014,8,12,33
507,20140813,2014,8,13,33
508,20140814,2014,8,14,33
509,20140815,2014,8,15,33
510,20140816,2014,8,16,33
511,20140817,2014,8,17,33
512,20140818,2014,8,18,34
513,20140819,2014,8,19,34
514,20140820,2014,8,20,34
515,20140821,2014,8,21,34
516,20140822,2014,8,22,34
517,20140823,2014,8,23,34
519,20140825,2014,8,25,35
520,20140826,2014,8,26,35
521,20140827,2014,8,27,35
522,20140828,2014,8,28,35
523,20140829,2014,8,29,35
524,20140830,2014,8,30,35
525,20140831,2014,8,31,35
526,20140901,2014,9,1,36
527,20140902,2014,9,2,36
528,20140903,2014,9,3,36
529,20140904,2014,9,4,36
530,20140905,2014,9,5,36
531,20140906,2014,9,6,36
533,20140908,2014,9,8,37
534,20140909,2014,9,9,37
535,20140910,2014,9,10,37
536,20140911,2014,9,11,37
537,20140912,2014,9,12,37
538,20140913,2014,9,13,37
539,20140914,2014,9,14,37
540,20140915,2014,9,15,38
541,20140916,2014,9,16,38
542,20140917,2014,9,17,38
543,20140918,2014,9,18,38
544,20140919,2014,9,19,38
545,20140920,2014,9,20,38
546,20140921,2014,9,21,38
547,20140922,2014,9,22,39
548,20140923,2014,9,23,39
549,20140924,2014,9,24,39
551,20140926,2014,9,26,39
552,20140927,2014,9,27,39
553,20140928,2014,9,28,39
554,20140929,2014,9,29,40
555,20140930,2014,9,30,40
556,20141001,2014,10,1,40
557,20141002,2014,10,2,40
558,20141003,2014,10,3,40
559,20141004,2014,10,4,40
560,20141005,2014,10,5,40
561,20141006,2014,10,6,41
562,20141007,2014,10,7,41
563,20141008,2014,10,8,41
564,20141009,2014,10,9,41
565,20141010,2014,10,10,41
566,20141011,2014,10,11,41
567,20141012,2014,10,12,41
568,20141013,2014,10,13,42
569,20141014,2014,10,14,42
570,20141015,2014,10,15,42
571,20141016,2014,10,16,42
572,20141017,2014,10,17,42
573,20141018,2014,10,18,42
574,20141019,2014,10,19,42
575,20141020,2014,10,20,43
576,20141021,2014,10,21,43
577,20141022,2014,10,22,43
578,20141023,2014,10,23,43
579,20141024,2014,10,24,43
580,20141025,2014,10,25,43
581,20141026,2014,10,26,43
582,20141027,2014,10,27,44
583,20141028,2014,10,28,44
584,20141029,2014,10,29,44
585,20141030,2014,10,30,44
586,20141031,2014,10,31,44
587,20141101,2014,11,1,44
588,20141102,2014,11,2,44
589,20141103,2014,11,3,45
590,20141104,2014,11,4,45
591,20141105,2014,11,5,45
592,20141106,2014,11,6,45
593,20141107,2014,11,7,45
594,20141108,2014,11,8,45
595,20141109,2014,11,9,45
596,20141110,2014,11,10,46
597,20141111,2014,11,11,46
598,20141112,2014,11,12,46
599,20141113,2014,11,13,46
600,20141114,2014,11,14,46
601,20141115,2014,11,15,46
602,20141116,2014,11,16,46
603,20141117,2014,11,17,47
604,20141118,2014,11,18,47
605,20141119,2014,11,19,47
606,20141120,2014,11,20,47
607,20141121,2014,11,21,47
608,20141122,2014,11,22,47
609,20141123,2014,11,23,47
610,20141124,2014,11,24,48
611,20141125,2014,11,25,48
612,20141126,2014,11,26,48
613,20141127,2014,11,27,48
614,20141128,2014,11,28,48
615,20141129,2014,11,29,48
616,20141130,2014,11,30,48
617,20141201,2014,12,1,49
618,20141202,2014,12,2,49
619,20141203,2014,12,3,49
620,20141204,2014,12,4,49
621,20141205,2014,12,5,49
622,20141206,2014,12,6,49
623,20141207,2014,12,7,49
624,20141208,2014,12,8,50
625,20141209,2014,12,9,50
626,20141210,2014,12,10,50
